Time,Input,Output
0.32,41.7327,40.2891
0.321,42.1531,40.5141
0.322,42.6024,40.7812
0.323,43.0768,41.0766
0.324,43.5723,41.4141
0.325,44.0848,41.7797
0.326,44.6099,42.1734
0.327,45.1433,42.6023
0.328,45.6806,43.0383
0.329,46.2171,43.425
0.33,46.7485,43.9312
0.331,47.2703,44.3953
0.332,47.7784,44.8734
0.333,48.2683,45.3516
0.334,48.7363,45.8438
0.335,49.1785,46.3359
0.336,49.5912,46.8141
0.337,49.9713,47.2922
0.338,50.3157,47.7633
0.339,50.6217,48.2273
0.34,50.887,48.6984
0.341,51.1097,49.1555
0.342,51.288,49.5914
0.343,51.4209,49.9781
0.344,51.5075,50.2945
0.345,51.5474,50.5547
0.346,51.5406,50.7305
0.347,51.4876,50.9062
0.348,51.3891,51.0117
0.349,51.2465,51.068
0.35,51.0612,51.0961
0.351,50.8353,51.068
0.352,50.5711,51.0047
0.353,50.2712,50.8992
0.354,49.9385,50.7727
0.355,49.5764,50.6109
0.356,49.1883,50.4141
0.357,48.7778,50.175
0.358,48.3488,49.8938
0.359,47.9054,49.5703
0.36,47.4518,49.2188
0.361,46.992,48.8391
0.362,46.5304,48.4383
0.363,46.0713,48.0164
0.364,45.6188,47.5805
0.365,45.1771,47.1305
0.366,44.7502,46.6664
0.367,44.3421,46.1812
0.368,43.9565,45.7031
0.369,43.5968,45.2391
0.37,43.2664,44.8031
0.371,42.9682,44.3953
0.372,42.705,44.0086
0.373,42.4791,43.65
0.374,42.2927,43.3195
0.375,42.1473,43.0102
0.376,42.0445,42.7289
0.377,41.985,42.4828
0.378,41.9695,42.2789
0.379,41.9982,42.1172
0.38,42.0709,42.0047
0.381,42.1869,41.9414
0.382,42.3453,41.9203
0.383,42.5448,41.9484
0.384,42.7837,42.0258
0.385,43.0598,42.1383
0.386,43.3709,42.2789
0.387,43.7143,42.4477
0.388,44.087,42.6375
0.389,44.4858,42.8625
0.39,44.9074,43.1508
0.391,45.348,43.432
0.392,45.8039,43.7484
0.393,46.2713,44.0859
0.394,46.7461,44.4586
0.395,47.2243,44.8453
0.396,47.7019,45.2602
0.397,48.1747,45.6891
0.398,48.6388,46.132
0.399,49.0903,46.575
0.4,49.5254,47.025
0.401,49.9404,47.5242
0.402,50.332,47.9672
0.403,50.6968,48.4242
0.404,51.0318,48.8742
0.405,51.3344,49.3172
0.406,51.6021,49.732
0.407,51.8327,50.1187
0.408,52.0246,50.4633
0.409,52.1761,50.7656
0.41,52.2863,51.0328
0.411,52.3543,51.2719
0.412,52.3799,51.4758
0.413,52.363,51.6445
0.414,52.3041,51.7641
0.415,52.2038,51.8414
0.416,52.0633,51.8766
0.417,51.884,51.8625
0.418,51.6678,51.8203
0.419,51.4166,51.7641
0.42,51.133,51.6867
0.421,50.8196,51.5742
0.422,50.4794,51.4336
0.423,50.1155,51.2578
0.424,49.7312,51.0398
0.425,49.3301,50.7797
0.426,48.9159,50.4844
0.427,48.4923,50.1539
0.428,48.0631,49.7883
0.429,47.6322,49.3945
0.43,47.2035,48.9937
0.431,46.7808,48.5719
0.432,46.3679,48.157
0.433,45.9685,47.7352
0.434,45.586,47.3133
0.435,45.224,46.8352
0.436,44.8854,46.4062
0.437,44.5735,46.0406
0.438,44.2907,45.5977
0.439,44.0397,45.2742
0.44,43.8226,44.9367
0.441,43.6412,44.6273
0.442,43.4971,44.3109
0.443,43.3915,44.0578
0.444,43.3252,43.868
0.445,43.2988,43.657
0.446,43.3124,43.4953
0.447,43.3658,43.3758
0.448,43.4584,43.2914
0.449,43.5894,43.2563
0.45,43.7575,43.2563
0.451,43.9611,43.2984
0.452,44.1985,43.3758
0.453,44.4673,43.4813
0.454,44.7652,43.6219
0.455,45.0894,43.7906
0.456,45.4371,43.9875
0.457,45.8051,44.2195
0.458,46.1901,44.4797
0.459,46.5887,44.768
0.46,46.9973,45.0844
0.461,47.4123,45.4219
0.462,47.83,45.7875
0.463,48.2467,46.1672
0.464,48.6586,46.5539
0.465,49.0623,46.9828
0.466,49.4541,47.3273
0.467,49.8305,47.7281
0.468,50.1883,48.1219
0.469,50.5243,48.5227
0.47,50.8357,48.9094
0.471,51.1196,49.2891
0.472,51.3735,49.6617
0.473,51.5954,49.9992
0.474,51.7833,50.3086
0.475,51.9356,50.5758
0.476,52.0509,50.8219
0.477,52.1283,51.0469
0.478,52.1671,51.2367
0.479,52.1671,51.4055
0.48,52.1283,51.532
0.481,52.051,51.6305
0.482,51.936,51.6797
0.483,51.7843,51.6938
0.484,51.5972,51.6656
0.485,51.3765,51.6094
0.486,51.124,51.532
0.487,50.8419,51.4336
0.488,50.5328,51.3141
0.489,50.1994,51.1734
0.49,49.8445,50.9906
0.491,49.4712,50.7797
0.492,49.0827,50.5195
0.493,48.6825,50.2242
0.494,48.2738,49.8938
0.495,47.8604,49.5281
0.496,47.4455,49.1484
0.497,47.0329,48.7547
0.498,46.626,48.3539
0.499,46.2282,47.9531
0.5,45.8429,47.5453
0.501,45.4733,47.1375
0.502,45.1224,46.7227
