Time,Input,Output
0.274,9.12777,6.53375
0.275,9.1717,6.67024
0.276,9.20435,6.69519
0.277,9.22551,6.70768
0.278,9.23512,6.70768
0.279,9.23317,6.64533
0.28,9.21979,6.64533
0.281,9.19517,6.75775
0.282,9.15965,7.07449
0.283,9.11361,7.24177
0.284,9.05756,7.34559
0.285,8.99208,7.34559
0.286,8.91783,7.35862
0.287,8.83554,7.62131
0.288,8.74602,7.56843
0.289,8.65014,7.56843
0.29,8.54881,7.56843
0.291,8.44299,7.68763
0.292,8.33369,7.9961
0.293,8.22193,8.07748
0.294,8.10876,8.07748
0.295,7.99523,8.13194
0.296,7.88238,8.28257
0.297,7.77128,8.50393
0.298,7.66293,8.85516
0.299,7.55835,8.85516
0.3,7.45849,8.47611
0.301,7.36427,8.91196
0.302,7.27656,8.85516
0.303,7.19615,8.85516
0.304,7.1238,8.84098
0.305,7.06017,8.84098
0.306,7.00584,8.94043
0.307,6.96132,8.94043
0.308,6.92703,8.47611
0.309,6.90329,8.47611
0.31,6.89034,8.53179
0.311,6.88831,8.53179
0.312,6.89725,8.49001
0.313,6.91709,8.29633
0.314,6.9477,8.29633
0.315,6.98882,8.29633
0.316,7.04012,8.09108
0.317,7.10118,8.07748
0.318,7.17148,7.94205
0.319,7.25044,7.71424
0.32,7.3374,7.71424
0.321,7.43162,7.71424
0.322,7.53231,7.62131
0.323,7.63863,7.56843
0.324,7.74969,7.55524
0.325,7.86454,7.3847
0.326,7.98223,7.31957
0.327,8.10178,7.13862
0.328,8.22217,7.08729
0.329,8.34241,7.06169
0.33,8.46151,6.94701
0.331,8.57846,6.92164
0.332,8.69232,6.99788
0.333,8.80213,6.99788
0.334,8.90701,6.97242
0.335,9.0061,6.88366
0.336,9.09861,6.7703
0.337,9.18379,6.88366
0.338,9.26097,7.21592
0.339,9.32955,7.21592
0.34,9.38901,6.98514
0.341,9.43891,6.89631
0.342,9.47888,6.79542
0.343,9.50866,7.10011
0.344,9.52806,7.2936
0.345,9.537,7.2936
0.346,9.53549,7.2936
0.347,9.5236,7.47631
0.348,9.50154,7.47631
0.349,9.46957,7.74088
0.35,9.42805,7.39775
0.351,9.37742,7.74088
0.352,9.3182,8.46222
0.353,9.25099,8.25509
0.354,9.17644,8.17289
0.355,9.09528,8.24136
0.356,9.00829,8.24136
0.357,8.9163,8.58763
0.358,8.82016,8.91196
0.359,8.7208,8.91196
0.36,8.61912,8.91196
0.361,8.51609,8.91196
0.362,8.41264,9.0547
0.363,8.30974,9.06903
0.364,8.20833,9.38697
0.365,8.10934,9.19849
0.366,8.01368,9.19849
0.367,7.92221,9.35786
0.368,7.83579,9.35786
0.369,7.75518,9.09773
0.37,7.68113,9.09773
0.371,7.6143,9.35786
0.372,7.55531,9.35786
0.373,7.50469,9.0547
0.374,7.4629,9.04038
0.375,7.43033,9.04038
0.376,7.40727,9.09773
0.377,7.39395,8.92619
0.378,7.39048,9.18406
0.379,7.39691,8.75616
0.38,7.41319,8.95467
0.381,7.4392,8.65766
0.382,7.4747,8.65766
0.383,7.51941,8.50393
0.384,7.57294,8.50393
0.385,7.63483,8.51785
0.386,7.70455,8.81267
0.387,7.78151,8.22765
0.388,7.86504,7.9961
0.389,7.95442,7.98257
0.39,8.04889,7.98257
0.391,8.14764,7.84788
0.392,8.24982,7.6478
0.393,8.35457,7.60807
0.394,8.46098,7.58164
0.395,8.56815,7.58164
0.396,8.67518,7.3847
0.397,8.78114,7.25471
0.398,8.88516,7.25471
0.399,8.98635,7.34559
0.4,9.08385,7.34559
0.401,9.17687,7.06169
0.402,9.26462,7.06169
0.403,9.34637,7.17722
0.404,9.42146,7.2936
0.405,9.48927,7.17722
0.406,9.54926,7.2936
0.407,9.60096,7.28062
0.408,9.64395,7.28062
